name,constituency,so_do_wo,age,party,assets,liabilities
DEVUNOORI SRINIVASU,HUZURABAD  (KARIMNAGAR),Ilaiah,43,Dalita Bahujana Party,Telangana 2018,"Rs46,56,956"
DR. K. NAGESH,KARIMNAGAR  (KARIMNAGAR),K. Prabhakar Rao,65,IND,"Rs 5,50,000",Nil
DR. KAVVAMPALLY SATYANARAYANA(Winner),MANAKONDUR (SC)  (KARIMNAGAR),Late KAVVAMPALLY ELLAIAH,58,INC,Telangana 2014,"Rs6,25,40,000"
DR. PENCHALA SRINIVAS,KARIMNAGAR  (KARIMNAGAR),Rajaiah,44,IND,Telangana 2023,"Rs10,000"
DUBBASI MAHENDAR,MANAKONDUR (SC)  (KARIMNAGAR),Kondaiah,33,India Praja Bandhu Party,"Rs 5,39,000","Rs 98,000"
DUMPALA NARSHIM BABU,CHOPPADANDI (SC)  (KARIMNAGAR),Venkataiah,61,Jai Swaraj Party,"Rs 11,30,000",Nil
DURGABAI BANGARU,KARIMNAGAR  (KARIMNAGAR),Sudershan,45,Prajarajya Samithi,"Rs 60,000",Nil
EATALA RAJENDAR,HUZURABAD  (KARIMNAGAR),MALLAIAH,59,BJP,Telangana 2023,"Rs53,94,28,867"
ELLAIAH NAGUNOORI,KARIMNAGAR  (KARIMNAGAR),Rayanarsu,46,IND,Telangana 2018,Nil
EMMADI SATHISH,HUZURABAD  (KARIMNAGAR),Madhunaih,38,IND,"Rs 11,63,000","Rs 8,00,000"
ERUPULA BALAKISHAN,MANAKONDUR (SC)  (KARIMNAGAR),ERUPULA RAJAIAH,58,BRS,Telangana 2018,"Rs1,82,31,537"
GANGARAPU THIRUPATHI,HUZURABAD  (KARIMNAGAR),Kanukaich,56,Peoples Party of India (Democratic),"Rs 8,000",Nil
GANGULA KAMALAKAR(Winner),KARIMNAGAR  (KARIMNAGAR),Late .G.Mallaiah,56,BRS,Telangana 2018,"Rs29,55,96,401"
GAVVALA LAXMI,KARIMNAGAR  (KARIMNAGAR),Gavvala Srikanth,39,IND,"Rs 16,45,000","Rs 1,60,000"
GORRE SAMPATH KUMAR,KARIMNAGAR  (KARIMNAGAR),Laxman@Laxmaiah,41,IND,"Rs 48,95,793","Rs 10,00,000"
GORRE THARA,KARIMNAGAR  (KARIMNAGAR),Rajaiah,55,IND,"Rs 1,69,60,000",Nil
GOWRU AJAY KUMAR,CHOPPADANDI (SC)  (KARIMNAGAR),Bhoomaiah,35,IND,"Rs 60,76,625","Rs 23,30,000"
GURRAM KAMALAKER,KARIMNAGAR  (KARIMNAGAR),Muthyam Reddy,38,IND,"Rs 60,000","Rs 2,00,000"
"JAKKANAPALLY GANESH, ADVOCATE",MANAKONDUR (SC)  (KARIMNAGAR),MALLAIAH,35,All India Forward Bloc,"Rs 11,500",Nil
JANGAM SADHANA,CHOPPADANDI (SC)  (KARIMNAGAR),Jangam Anjan Babu,33,Dharma Samaj Party,"Rs 55,000",Nil
KALLEPELLY VIJAYA RAJU,CHOPPADANDI (SC)  (KARIMNAGAR),Ealiya,57,IND,"Rs 5,00,000","Rs 40,000"
KAUSHIK REDDY PADI(Winner),HUZURABAD  (KARIMNAGAR),Padi Sainath Reddy,38,BRS,Telangana Legislative Council (Updated),"Rs38,79,00,000"
KONKATI SHEKHAR,CHOPPADANDI (SC)  (KARIMNAGAR),Parshramulu,34,BSP,"Rs 1,38,280","Rs 81,744"
