name,constituency,so_do_wo,age,party,assets,liabilities
AINDALA KRISHNA,KARWAN  (HYDERABAD),Late A Seethaiah,64,BRS,"Rs 1,08,12,535",Nil
AJEET REDDY. T,MALAKPET  (HYDERABAD),T.Subash Reddy,49,BRS,"Rs 27,11,68,153","Rs 47,27,706"
AKBAR UDDIN OWAISI(Winner),CHANDRAYANGUTTA  (HYDERABAD),Sultan Salahuddin Owaisi,53,All India Majlis-E-Ittehadul Muslimeen,Telangana 2018,"Rs24,30,68,341"
AKSHAY RAGHURAM KOTIAN,KHAIRATABAD  (HYDERABAD),Late K. Raghuram,30,IND,"Rs 30,000",Nil
ALGOLA RAMESH,MALAKPET  (HYDERABAD),LATE ALGOLA BABU,43,BSP,Telangana 2018,"Rs1,95,000"
ALIYA BEGUM,BAHADURPURA  (HYDERABAD),Md.Moinuddin,34,Majlis Markaz-e-Siyasee Party,"Rs 5,72,000",Nil
ALLEPU ANJAIAH,KARWAN  (HYDERABAD),Yellaiah,45,BSP,"Rs 25,000",Nil
ALLI SHIVA KUMAR,NAMPALLY  (HYDERABAD),Alli Yadaiah,33,Dharma Samaj Party,"Rs 41,000",Nil
AMALAKONDA VENUGOPAL GOUD,SECUNDERABAD  (HYDERABAD),Amalkonda Kainthaiah,45,Navarang Congress Party,"Rs 21,000",Nil
AMAR SINGH,KARWAN  (HYDERABAD),Late Sri Lokman Singh,68,BJP,Telangana 2018,"Rs54,28,91,086"
AMBI HANUMANTH RAO,MALAKPET  (HYDERABAD),LATE A JAGGAIAH,52,Socialist Party (India),Telangana 2018,"Rs16,92,000"
AMINA MAJID,NAMPALLY  (HYDERABAD),Mohd Abdul Majid,42,IND,"Rs 2,54,000",Nil
AMJAD KHAN,CHANDRAYANGUTTA  (HYDERABAD),Azam Khan,46,IND,Telangana 2018,"Rs1,16,060"
AMJED ULLAH KHAN,YAKUTPURA  (HYDERABAD),Late Mohd Aman Ullah Khan,51,Majlis Bachao Tahreek,"Rs 1,42,50,000",Nil
AMUDA ARUN KUMAR,AMBERPET  (HYDERABAD),Late Amuda Raju,36,IND,"Rs 7,45,000",Nil
ANAND CHAKRAPANI CHARY SUNKOJU KOTHAPALLY,KHAIRATABAD  (HYDERABAD),Sunkoju Kothapally Venkatesham,50,Nationalist Janshakti Party,"Rs 13,95,000",Nil
ANAND RAO,JUBILEE HILLS  (HYDERABAD),Sh. Jollu Adivaiah,39,IND,"Rs 7,01,536",Nil
ANDE USHA KANNA,KARWAN  (HYDERABAD),Ande Venkat Swamy,31,IND,"Rs 7,55,000",Nil
ANDRAPU SUDARSHAN GANGAPUTRA,AMBERPET  (HYDERABAD),Narsaiah Andrapu,51,IND,Lok Sabha 2019,"Rs60,000"
ANIL SEN,CHARMINAR  (HYDERABAD),Nand Lal Sen,48,IND,"Rs 66,000","Rs 16,97,000"
ANITHA MALI,CHANDRAYANGUTTA  (HYDERABAD),Gaddi Shankeriah,37,Jai Maha Bharath Party,"Rs 3,22,000",Nil
ANJAN KUMAR YADAV MANDADI,MUSHEERABAD  (HYDERABAD),Late M Maisaiah Yadav,62,INC,Lok Sabha 2019,"Rs2,46,55,065"
ANJUM BEGUM,NAMPALLY  (HYDERABAD),Sk Waleed Obaiedani,28,IND,"Rs 3,50,000",Nil
ANWAR KHAN,AMBERPET  (HYDERABAD),Salam kham,65,BSP,"Rs 97,22,830",Nil
ARSHADI BEGUM,BAHADURPURA  (HYDERABAD),Mohd. Saleem,43,Navarang Congress Party,"Rs 21,000",Nil
ARUKAL MAHENDAR GOUD,AMBERPET  (HYDERABAD),Arukal Ramalingam Goud,53,IND,"Rs 25,000",Nil
ARUKALA BABA,NAMPALLY  (HYDERABAD),Arukala Sanjeev Goud,38,IND,"Rs 17,50,000",Nil
ASHOK KUMAR MAMBA,GOSHAMAHAL  (HYDERABAD),Mamba Balaswamy,42,IND,Lok Sabha 2019,"Rs3,42,000"
ASIA TASNEEM SULTANA,CHANDRAYANGUTTA  (HYDERABAD),Late Mohammed Qasim,46,Navarang Congress Party,"Rs 3,81,000",Nil
AUSHETTY RAJANI,YAKUTPURA  (HYDERABAD),Aushetty Suresh Kumar,40,IND,"Rs 1,36,000",Nil
AVULA SRIKANTH,KARWAN  (HYDERABAD),Avula Krishna,34,All India Forward Bloc,"Rs 6,00,000",Nil
B. KIRAN KUMAR,SECUNDERABAD CANTT. (SC)  (HYDERABAD),B. Thimmaiah,36,IND,Telangana 2018,Nil
B. SRINIVAS,GOSHAMAHAL  (HYDERABAD),B. Venkaiah,48,Praja Ektha Party,"Rs 8,54,09,916",Nil
B.NAGESH,CHANDRAYANGUTTA  (HYDERABAD),B Thirumalaya,37,INC,"Rs 1,48,53,435","Rs 30,50,000"
B.V.RAMESH BABU,GOSHAMAHAL  (HYDERABAD),Late. Beeramganti Ramchander Rao,64,Socialist Party (India),Lok Sabha 2019,"Rs30,71,000"
BANAL MANJULA,SECUNDERABAD  (HYDERABAD),B ShivalingaChary,49,Alliance of Democratic Reforms Party,"Rs 10,60,000",Nil
BANGARI MANIK RAO,YAKUTPURA  (HYDERABAD),Late Sh. Kistaiah,50,BSP,"Rs 6,96,600","Rs 1,06,000"
BASAPALLI SHYAM RAO,NAMPALLY  (HYDERABAD),B. Yadagiri,46,IND,"Rs 19,88,470","Rs 3,80,000"
BHARGAVI KAJJAYAM,MALAKPET  (HYDERABAD),Venugopal Kajjayam,48,IND,"Rs 79,96,292","Rs 26,41,500"
BHAVANI.P,SECUNDERABAD  (HYDERABAD),Naveen.P,37,IND,Telangana 2018,"Rs8,01,545"
BILLAM NARENDER,NAMPALLY  (HYDERABAD),B.Mohan Rao,62,IND,"Rs 2,05,000","Rs 1,50,000"
BOGGULLA SUNIITHHA,MALAKPET  (HYDERABAD),Boggula Vennu,50,IND,"Rs 28,55,200",Nil
BOKINALA KOTESWARA RAO,MUSHEERABAD  (HYDERABAD),B Gurunadham,42,IND,"Rs 7,82,484",Nil
BOMMAGANTI HARI BABU,KARWAN  (HYDERABAD),Late Bommaganti Shyam Lal,51,IND,"Rs 1,50,59,000","Rs 18,50,000"
BOPPI GANESH,NAMPALLY  (HYDERABAD),B.Ramaiah,48,Pyramid Party of India,Telangana 2018,"Rs87,781"
BUDIDA KARUNAKAR,SECUNDERABAD CANTT. (SC)  (HYDERABAD),Yadagiri Budida,31,BSP,"Rs 9,55,700",Nil
BURUGULA JOHN DINAKAR,SECUNDERABAD  (HYDERABAD),B.Benjamin,29,IND,"Rs 20,000",Nil
C.K. KRISHNA,YAKUTPURA  (HYDERABAD),C K Khushadwaja,57,IND,"Rs 6,99,000",Nil
CH ANAND KUMAR GOUD,NAMPALLY  (HYDERABAD),Late Ch Durgaiah Goud,61,BRS,Telangana 2018,"Rs5,84,27,729"
CH. SWARNA KUMARI,KHAIRATABAD  (HYDERABAD),Ch. Rajaiah,41,IND,"Rs 7,90,000",Nil
CHAMAKURA SUJATHA,SANATHNAGAR  (HYDERABAD),C PRADEEP KUMAR,48,Jai Maha Bharath Party,"Rs 55,30,000",Nil
CHANDRA SHEKHAR RAO GAJULA,GOSHAMAHAL  (HYDERABAD),Late. Narsimha Gajula,42,IND,"Rs 7,19,000",Nil
CHARAN RAJ VALPARAJ,SECUNDERABAD  (HYDERABAD),V Satya raj,31,Telangana Prajaa Jeevana Rythu Party,"Rs 92,000",Nil
CHEEPIRISHETTI RAMESH,MUSHEERABAD  (HYDERABAD),MALLESHAM,30,IND,"Rs 66,045",Nil
CHEKKA SHYAM KUMAR,MUSHEERABAD  (HYDERABAD),Late Rangaiah,52,Dalita Bahujana Party,"Rs 6,500",Nil
CHENABOYANNA KRISHNA YADAV,AMBERPET  (HYDERABAD),Pandu Yadav C,59,BJP,"Rs 13,11,16,000","Rs 1,71,46,000"
CHINTALA RAMA CHANDRA REDDY,KHAIRATABAD  (HYDERABAD),Late Sri Ram Reddy Chintala,69,BJP,Telangana 2018,"Rs10,83,88,989"
D. BHANU CHANDER,CHANDRAYANGUTTA  (HYDERABAD),D. Yadagiri,37,IND,"Rs 1,15,000",Nil
D. NAGARAJU,KHAIRATABAD  (HYDERABAD),Late D.Yadagiri,45,Yuga Thulasi Party,"Rs 60,82,000","Rs 9,10,000"
DANAM NAGENDER(Winner),KHAIRATABAD  (HYDERABAD),Late DANAM LINGA MURTHY,60,BRS,Telangana 2018,"Rs41,07,97,119"
DASHARATHAM MADDELA,MUSHEERABAD  (HYDERABAD),M. VENKATAIAH,44,CPI(M),"Rs 21,49,000",Nil
DEENAWALE SHIVRAJ SINGH,NAMPALLY  (HYDERABAD),D.Nandu Lal,36,IND,"Rs 4,82,000",Nil
DEVARUPPALA SRIKANTH,AMBERPET  (HYDERABAD),Devaruppala Veeraswamy,31,IND,"Rs 88,164",Nil
DEVENDAR KONNE,SANATHNAGAR  (HYDERABAD),VENKANNA,42,IND,Telangana 2018,"Rs26,67,609"
DHANRAJ V,NAMPALLY  (HYDERABAD),Late Mallesh.V,42,Bhartiya Swadeshi Congress,"Rs 85,000",Nil
DHARMENDER TIWARI,AMBERPET  (HYDERABAD),Ramachal Tiwari,37,Praja Ektha Party,"Rs 23,74,076",Nil
DIDDI PENTAIAH,NAMPALLY  (HYDERABAD),Diddi Papaiah,76,IND,"Rs 77,30,000",Nil
DR. AMAN PREET SINGH ALAGH,KHAIRATABAD  (HYDERABAD),Arbinder Singh,39,Gana Suraksha Party,"Rs 89,44,000","Rs 24,00,000"
DR. ROHIN KUMAR REDDY.C,AMBERPET  (HYDERABAD),Dr. C. Muthyam Reddy,48,INC,"Rs 11,69,75,894","Rs 79,12,670"
DR.GUDOORI CHENNA REDDY,JUBILEE HILLS  (HYDERABAD),Late Ranga Reddy,76,Indian Praja Congress,"Rs 21,42,34,638",Nil
EADA BHASKAR RAO,AMBERPET  (HYDERABAD),E Satyanarayana Swamy,55,Alliance of Democratic Reforms Party,"Rs 3,86,000","Rs 60,000"
EILLANDULA SATHISH,SECUNDERABAD CANTT. (SC)  (HYDERABAD),Shanker Eillandula,29,IND,"Rs 25,000",Nil
ETIKYALA NAGESH,MUSHEERABAD  (HYDERABAD),Late Etikyala Mallesh,47,Baliraja Party,"Rs 10,000",Nil
FARHANA BEGUM,NAMPALLY  (HYDERABAD),Late Md Abdul Ghafoor,37,IND,"Rs 10,000",Nil
GADDAM ANITHA,MALAKPET  (HYDERABAD),GADDAM RAJA RAM,44,Gana Suraksha Party,Telangana 2023,"Rs12,000"
GANDHAM SATYANARAYANA,CHANDRAYANGUTTA  (HYDERABAD),Late.G.Ramulu,64,IND,"Rs 15,09,000",Nil
GATTU KUMAR KARTHIK,SECUNDERABAD CANTT. (SC)  (HYDERABAD),Gattu Indira Kumar Swaroop,26,IND,"Rs 10,320",Nil
GOGIKAR ANIL,KARWAN  (HYDERABAD),Hari Kishan Gogikar,25,Vidhyarthula Rajakiya Party,"Rs 1,06,000","Rs 34,064"
GONTI SRIKANTH,JUBILEE HILLS  (HYDERABAD),Sh. Gonti Kumar Chowdary Yadav,35,Samaikyandhra Parirakshana Samithi,Telangana 2018,"Rs13,55,000"
GORLA BHARATH RAJ,CHANDRAYANGUTTA  (HYDERABAD),G. Chandra Shekar,30,IND,"Rs 2,65,000","Rs 76,000"
GOWLIKAR SONY,SANATHNAGAR  (HYDERABAD),Gowlikar Narsing Rao,37,Social Justice Party of India,"Rs 64,10,000","Rs 69,20,000"
GUNJA VIJAYA KUMARI,SECUNDERABAD  (HYDERABAD),Gunja Yedukondal,33,Loktantrik Janta Dal,"Rs 3,668",Nil
GUNNEBOINA AKHILESH,SANATHNAGAR  (HYDERABAD),Gunneboyina Jagan,27,BSP,"Rs 2,16,000","Rs 18,735"
GUVVALA SATISH KUMAR,MALAKPET  (HYDERABAD),GUVVALA CHANDRAIAH,35,IND,"Rs 2,85,000",Nil
HABEEB OSMAN BIN JEELANI,YAKUTPURA  (HYDERABAD),Late Habeeb Jeelani Bin Akber,52,IND,Telangana 2018,"Rs1,20,53,87,200"
HUMA ABBASI,KHAIRATABAD  (HYDERABAD),Nusrath Begum,43,Jai Maha Bharath Party,Telangana 2023,"Rs2,73,000"
I. LATHA,MALAKPET  (HYDERABAD),I.Thirupathi,44,Yuga Thulasi Party,"Rs 2,50,15,000","Rs 4,10,000"
IRIGI MALLESH,BAHADURPURA  (HYDERABAD),Narsimha,36,Dharma Samaj Party,"Rs 2,85,000",Nil
J. SHYAM SUNDER RAO,MALAKPET  (HYDERABAD),J Shankar rao,54,IND,"Rs 1,86,70,000",Nil
JAFFAR HUSSAIN(Winner),YAKUTPURA  (HYDERABAD),Ahmed Hussain,63,All India Majlis-E-Ittehadul Muslimeen,Telangana 2018,"Rs10,66,51,987"
JAJULA BHASKAR,SECUNDERABAD CANTT. (SC)  (HYDERABAD),Jajula Sayanna,48,Shramajeevi Party,Telangana 2018,"Rs1,39,11,000"
JAKATI LAXMI RAHUL CHANDRA,NAMPALLY  (HYDERABAD),Jakati Laxmi Narsimha,51,BJP,"Rs 3,55,53,441","Rs 67,53,778"
JAKKULA VIJAYALAXMI,NAMPALLY  (HYDERABAD),Jakkula Ravi,39,IND,"Rs 6,50,000",Nil
JANAGAMA ANITHA,MUSHEERABAD  (HYDERABAD),JANAGAMA YELLAIAH,26,IND,"Rs 1,85,700",Nil
JYOTI SHARMA,CHARMINAR  (HYDERABAD),Navneet Sharma,27,Gana Suraksha Party,"Rs 2,50,000",Nil
K SHANKAR,NAMPALLY  (HYDERABAD),K.Yellaiah,37,IND,"Rs 3,55,635","Rs 1,07,560"
K. M. GURUCHARAN,KARWAN  (HYDERABAD),K.M Jankiram,41,Bahujana Rashtra Samithi,"Rs 8,00,000","Rs 2,00,000"
K. PRABHAKAR,KARWAN  (HYDERABAD),K.Ramchandar,52,IND,"Rs 31,000",Nil
K. RAVI RAJ,YAKUTPURA  (HYDERABAD),Late K. Shiva Chander,49,INC,"Rs 3,11,500","Rs 21,000"
K. SUDERSHAN,YAKUTPURA  (HYDERABAD),Katta Durgesh,45,IND,"Rs 20,25,000",Nil
KAJA.POORNA CHANDER,MUSHEERABAD  (HYDERABAD),Kaja ramakrishna,45,Indian Praja Congress,Nil,Nil
KALERU VENKATESH(Winner),AMBERPET  (HYDERABAD),Late K Anjaneyulu,63,BRS,Telangana 2018,"Rs2,48,84,675"
KANCHANAMALA,SANATHNAGAR  (HYDERABAD),Chekkala Srinivas,49,IND,"Rs 69,53,000","Rs 5,00,000"
KANTE SRINIVAS RAO (KSR),SECUNDERABAD  (HYDERABAD),Late Kante Kanakiah,52,IND,Telangana 2018,"Rs29,50,000"
KANUGANTI RAJU,SECUNDERABAD  (HYDERABAD),K.Rajaiah,57,All India Forward Bloc,Telangana 2023,"Rs92,68,000"
KARANAM RAJESH KUMAR,MUSHEERABAD  (HYDERABAD),SRINIVASULU,32,IND,"Rs 8,87,00,000","Rs 11,50,000"
KARTHIK MEDI,SANATHNAGAR  (HYDERABAD),YADAIAH MEDI,32,Dharma Samaj Party,"Rs 4,30,600",Nil
KASA SOMAIAH,YAKUTPURA  (HYDERABAD),K. Gopal,62,All India Majlis-E-Inquilab-E-Millat,"Rs 84,13,000",Nil
KAUSAR MOHIUDDIN(Winner),KARWAN  (HYDERABAD),Gulam Mohiuddin,59,All India Majlis-E-Ittehadul Muslimeen,Telangana 2018,"Rs58,01,174"
KHAJA MANSOOR,GOSHAMAHAL  (HYDERABAD),Malang Shah,44,Janata Congress,"Rs 47,50,000",Rs 0
KHAJA MOINUDDIN,MALAKPET  (HYDERABAD),K. HAFEEZUDDIN,55,All India Majlis-E-Inquilab-E-Millat,"Rs 8,13,182","Rs 1,25,793"
KODIMELA RAMESH,KHAIRATABAD  (HYDERABAD),Late K. Gangaiah,58,IND,"Rs 36,05,000","Rs 8,00,000"
KONDAPALLY RAMU,KARWAN  (HYDERABAD),Kondapally Ramulu,26,IND,"Rs 6,000",Nil
KONDRAPALLY MANJULA,MALAKPET  (HYDERABAD),KONDRAPALLY SAIDULU,29,Dharma Samaj Party,"Rs 50,600",Nil
KONENTI SUDERSHAN,MALAKPET  (HYDERABAD),SAMUEL KONENTI,51,India Praja Bandhu Party,"Rs 7,30,002","Rs 1,25,000"
KONETI SUJATHA,JUBILEE HILLS  (HYDERABAD),Sh. K. Ramulu,28,BSP,"Rs 1,52,12,000","Rs 31,00,000"
KOTA NEELIMA,SANATHNAGAR  (HYDERABAD),Pawan Khera,52,INC,"Rs 54,75,71,928","Rs 9,31,99,132"
KOUSAR ALI MIRZA,CHARMINAR  (HYDERABAD),Mohd Ali Mirza,53,All India Majlis-E-Inquilab-E-Millat,"Rs 7,49,500",Nil
KOWDI MAHENDER,CHANDRAYANGUTTA  (HYDERABAD),Late K Bala Kistaiah,54,BJP,"Rs 1,16,41,891","Rs 6,00,000"
KRISHNA GOLAKONDA,SECUNDERABAD  (HYDERABAD),GOLAKONDA BALA SIDDAIAH,41,Dharma Samaj Party,"Rs 7,40,000",Nil
KULDEEP SHARMA,CHARMINAR  (HYDERABAD),Om Praksh Sharma,42,Yuga Thulasi Party,"Rs 7,05,000",Nil
KUMMARI VENKATESWARLU,SANATHNAGAR  (HYDERABAD),Kummari Venkata Subbaiah,47,All India Forward Bloc,"Rs 2,08,52,931","Rs 36,68,559"
KURAKULA JYOTHI,KHAIRATABAD  (HYDERABAD),Kurakula Raghunad,45,Socialist Unity Centre Of India (COMMUNIST),"Rs 35,50,000","Rs 16,92,644"
L. ASHOKNATH,MALAKPET  (HYDERABAD),LATE L. JAGANNATH,53,IND,Lok Sabha 2019,"Rs2,49,000"
L. SRINATH,AMBERPET  (HYDERABAD),Late. Mallesh Rao Lankadasari,41,IND,"Rs 80,000",Nil
LANKALA DEEPAK REDDY,JUBILEE HILLS  (HYDERABAD),Lankala Krishna Reddy,49,BJP,"Rs 2,33,27,272","Rs 35,00,000"
LASYA NANDITHA SAYANNA(Winner),SECUNDERABAD CANTT. (SC)  (HYDERABAD),Late Gaini  Sayanna,36,BRS,"Rs 1,77,50,852",Nil
LAXMI NARAYANA YAPRALA,MUSHEERABAD  (HYDERABAD),Krishna Yaprala,33,IND,"Rs 20,83,900","Rs 15,53,473"
LAYEEQ AHMED KHAN,YAKUTPURA  (HYDERABAD),Gulam Ghouse Khan,66,IND,"Rs 30,000",Nil
LINGA SWAMY SINGARAM,GOSHAMAHAL  (HYDERABAD),Mallaiah Singaram,41,Dharma Samaj Party,"Rs 26,25,000",Nil
M NARENDER,NAMPALLY  (HYDERABAD),M.Yadaiah,46,IND,"Rs 6,56,000",Nil
M. KIRAN,MALAKPET  (HYDERABAD),M DAYANAND,39,IND,"Rs 21,000",Nil
M. MOHD HUSSAIN,MALAKPET  (HYDERABAD),Late M Tassaduq,51,Navarang Congress Party,Telangana 2018,"Rs4,10,000"
M. RAMCHARAN DAS,CHANDRAYANGUTTA  (HYDERABAD),Late. M. Narayana,49,BSP,"Rs 12,70,666",Nil
M. SRINIVAS,AMBERPET  (HYDERABAD),Late. M. Chandraiah,41,IND,"Rs 9,15,000",Nil
M.A. ARUN KUMAR,SECUNDERABAD  (HYDERABAD),Maddela Samson Samuel,59,India Praja Bandhu Party,"Rs 34,88,148",Nil
M.D. RASHED FARAZUDDIN,JUBILEE HILLS  (HYDERABAD),Khaja Moinuddin,35,All India Majlis-E-Ittehadul Muslimeen,"Rs 70,90,400","Rs 28,00,000"
M.GOPAL,MUSHEERABAD  (HYDERABAD),M.Satnarayana,60,All India Hindustan Congress Party,"Rs 9,11,000",Nil
M.PRASUNAMBA,JUBILEE HILLS  (HYDERABAD),Sh. Sudhakar Rao,46,Navarang Congress Party,"Rs 58,15,000","Rs 30,70,000"
MACHCHERLA VENKAT REDDY,JUBILEE HILLS  (HYDERABAD),Sh. Machcherla Mallesh,68,IND,"Rs 1,10,49,500",Nil
MADHAVA CHARY GOTTIMUKKALA,MUSHEERABAD  (HYDERABAD),Shambhaih Chary Gottimukkala,35,IND,"Rs 2,33,100",Nil
MAGANTI GOPINATH(Winner),JUBILEE HILLS  (HYDERABAD),Late Krishna Murthy,60,BRS,Telangana 2018,"Rs11,71,60,680"
MALIK MOQTHER MOHIUDDIN,AMBERPET  (HYDERABAD),Late Mahmood Mohiuddin,42,Dravida Jananayaga Makkal Katchi,"Rs 1,33,883","Rs 60,000"
MALLAMPATI RAJENDAR,MUSHEERABAD  (HYDERABAD),Late Mallampati Gangaiah,48,All India Forward Bloc,Telangana 2018,"Rs1,90,000"
MALLEPAKULA SAIDULU,YAKUTPURA  (HYDERABAD),Sh. M Anjaiah,36,Dharma Samaj Party,"Rs 8,15,000",Nil
MALLI SURYA TEJA,NAMPALLY  (HYDERABAD),Sudhakar Rao,31,Navarang Congress Party,"Rs 5,15,000",Nil
MANGILIPALLY SHANKER,AMBERPET  (HYDERABAD),Mangilipally Mallaiah,40,IND,"Rs 7,00,000","Rs 1,00,000"
MARRI SHASHIDHAR REDDY,SANATHNAGAR  (HYDERABAD),Dr. Marri Channa Reddy,74,BJP,Telangana 2014,"Rs46,76,77,000"
MARUTHA CHANDRA SHEKAR,NAMPALLY  (HYDERABAD),Late Marutha Venkatesh,41,IND,"Rs 1,00,000",Nil
MATANGI RAMESH KUMAR,KARWAN  (HYDERABAD),M.Nagabhusanam,41,IND,Telangana 2018,"Rs2,97,350"
MD NAZEER AHMED ANSARI,NAMPALLY  (HYDERABAD),Md. Qudrath Ullah Ansari,38,Bahujan Mukti Party,"Rs 5,33,000",Nil
MEGHA RANI AGARWAL,CHARMINAR  (HYDERABAD),Umesh Agarwal,42,BJP,"Rs 1,19,16,594","Rs 9,31,284"
MEKALA SARANGAPANI,SECUNDERABAD  (HYDERABAD),Late Mekala Janardhan,60,BJP,"Rs 3,52,59,010","Rs 1,00,000"
MEKALA VIVEK YADAV,GOSHAMAHAL  (HYDERABAD),Ashok  Yadav,31,Bharatha Chaitanya Yuvajana Party,"Rs 1,07,98,000","Rs 85,84,000"
METTU MANJULA,KHAIRATABAD  (HYDERABAD),Mettu Narsimlu,28,IND,"Rs 3,92,055",Nil
MIDDE KRISHNA,KHAIRATABAD  (HYDERABAD),Late M. Narsimha,42,BSP,Telangana 2018,"Rs1,80,000"
MILIND RAJ SINGH,GOSHAMAHAL  (HYDERABAD),Murli ManoharLal,51,IND,"Rs 15,000","Rs 35,245"
MIR INAYATH ALI BAQRI,BAHADURPURA  (HYDERABAD),Late Mir Iftaqar Ali Baqri,53,BRS,Telangana 2018,"Rs6,60,000"
MIR ZULFEQAR ALI(Winner),CHARMINAR  (HYDERABAD),Mir Vajid Ali,60,All India Majlis-E-Ittehadul Muslimeen,"Rs 10,13,68,471","Rs 1,97,13,115"
MODI RAMESH,KARWAN  (HYDERABAD),Modi Chennaiah,42,Dharma Samaj Party,"Rs 36,82,000","Rs 1,50,000"
MOGILI SUNITHA,GOSHAMAHAL  (HYDERABAD),Dr. Battala Manohar,53,INC,"Rs 3,60,07,960",Nil
MOHAMMED ABDUL AZEEM,NAMPALLY  (HYDERABAD),Late Abdul Wahed,52,IND,Telangana 2023,"Rs2,10,000"
MOHAMMED ABDUL AZEEM,GOSHAMAHAL  (HYDERABAD),Mohammad Abdul Hakeem,31,All India Majlis-E-Inquilab-E-Millat,"Rs 52,10,033",Nil
MOHAMMED ABDUL AZIZ KHAN,YAKUTPURA  (HYDERABAD),Mohammed Abdul Wazeer Khan,65,IND,"Rs 98,024",Nil
MOHAMMED ABDUL KHADEER,KHAIRATABAD  (HYDERABAD),Late Mohammed Abdul Ghani,55,Majlis Markaz-e-Siyasee Party,Telangana 2018,"Rs2,50,000"
MOHAMMED ABDUL KHADER,SECUNDERABAD  (HYDERABAD),Mohammed Abdul Khaleel,54,IND,"Rs 1,01,000",Nil
MOHAMMED AFZAL,SECUNDERABAD  (HYDERABAD),Late Mohammed Hafeez,56,IND,"Rs 1,32,45,000","Rs 6,00,000"
MOHAMMED AKBARUDDIN,JUBILEE HILLS  (HYDERABAD),Late Mohd Ameen,45,IND,"Rs 76,66,875",Nil
MOHAMMED AKRAM ALI KHAN,MALAKPET  (HYDERABAD),Mohammed Mukarram Ali Khan,37,IND,Telangana 2023,"Rs1,24,51,527"
MOHAMMED AKRAM ALI KHAN,YAKUTPURA  (HYDERABAD),Mohammed Mukarram Ali Khan,37,IND,Telangana 2023,"Rs1,24,51,527"
MOHAMMED AMAN ULLHA SHAREEF,CHARMINAR  (HYDERABAD),Late Mohd Manzoor Shareef,53,IND,"Rs 1,68,30,000",Nil
MOHAMMED ASHFAQ,YAKUTPURA  (HYDERABAD),Mohammed Yousuf,54,India Praja Bandhu Party,"Rs 27,00,000",Nil
MOHAMMED AZHARUDDIN,JUBILEE HILLS  (HYDERABAD),Mohammed Azizuddin,60,INC,,
MOHAMMED FEROZ KHAN,NAMPALLY  (HYDERABAD),Late Nazeer Mohammed Khan,51,INC,Lok Sabha 2019,"Rs74,70,000"
MOHAMMED ISMAIL KHAN,JUBILEE HILLS  (HYDERABAD),Late Mohammed Ibrahim,34,IND,"Rs 1,18,66,182","Rs 32,05,878"
MOHAMMED KHAJA,KHAIRATABAD  (HYDERABAD),Mohammed Ismail,46,Janata Congress,"Rs 5,25,000",Nil
MOHAMMED LAIQ,KARWAN  (HYDERABAD),Md Hakeem,53,Majlis Bachao Tahreek,"Rs 5,55,000",Nil
MOHAMMED MAJID HUSSAIN(Winner),NAMPALLY  (HYDERABAD),M.H Maqsood,43,All India Majlis-E-Ittehadul Muslimeen,"Rs 2,51,70,108","Rs 16,88,662"
MOHAMMED MUBEEN(Winner),BAHADURPURA  (HYDERABAD),Mohammed Fareed Uddin,55,All India Majlis-E-Ittehadul Muslimeen,"Rs 1,50,45,139",Nil
MOHAMMED MUJEEBULLAH SHAREEF,CHARMINAR  (HYDERABAD),Late Manzoor,55,INC,"Rs 4,47,74,917","Rs 3,41,637"
MOHAMMED OSMAN,YAKUTPURA  (HYDERABAD),MD Hidayath,56,IND,"Rs 83,67,122","Rs 45,000"
MOHAMMED OSMAN,GOSHAMAHAL  (HYDERABAD),Mohammad Moulana,40,IND,Nil,Nil
MOHAMMED SAADULLAH KHAN,MALAKPET  (HYDERABAD),Mohd Ayub Khan,31,IND,"Rs 60,000",Nil
MOHAMMED SALAUDDIN LODHI,CHARMINAR  (HYDERABAD),Mohammed Sharfuddin,61,BRS,Telangana 2018,"Rs64,50,000"
MOHAMMED WAHEED ALI,BAHADURPURA  (HYDERABAD),Mohammed Jahangir Ali,44,All India Majlis-E-Inquilab-E-Millat,"Rs 13,90,000",Nil
MOHAN. K,SECUNDERABAD  (HYDERABAD),Sh. Kondoju Yadagiri,63,IND,Telangana 2018,"Rs1,55,01,983"
MOHD AIJAZ,MUSHEERABAD  (HYDERABAD),Mohd Ishaq,43,IND,"Rs 4,87,500",Nil
MOHD AZHARUDDIN QUADARI,BAHADURPURA  (HYDERABAD),Mohd. Basheer Uddin Quadari,35,All India Forward Bloc,"Rs 50,000",Nil
MOHD MAJID,KHAIRATABAD  (HYDERABAD),Mohd Hafeez,47,IND,Telangana 2018,"Rs90,000"
MOHD SHAFEE AHMED,NAMPALLY  (HYDERABAD),Mohd Sultan,33,BSP,"Rs 2,63,320",Nil
MUDUGULA SUNITHA,SECUNDERABAD  (HYDERABAD),Sh. Mudugula Upender,44,IND,"Rs 26,50,000",Nil
MUPPI SEETHARAM REDDY,CHANDRAYANGUTTA  (HYDERABAD),Late M.Gopal Reddy,54,BRS,"Rs 36,15,750",Nil
MUPPIDI VASUDEVA RAO,AMBERPET  (HYDERABAD),Muppidi Sarvaiah,54,Indian Praja Congress,"Rs 16,000",Nil
MURALI MOHAN CHAPPATI,MUSHEERABAD  (HYDERABAD),BHASKARA RAO CHAPPATI,42,IND,"Rs 4,32,98,844","Rs 1,34,12,723"
